,ds,y
807,1985-06-23,0.0
808,1985-06-30,0.0
809,1985-07-07,0.0
810,1985-07-14,0.0
811,1985-07-21,0.0
812,1985-07-28,0.0
813,1985-08-04,0.0
814,1985-08-11,0.0
815,1985-08-18,0.0
816,1985-08-25,0.0
817,1985-09-01,0.0
818,1985-09-08,0.0
819,1985-09-15,0.0
820,1985-09-22,0.0
821,1985-09-29,0.0
822,1985-10-06,0.0
823,1985-10-13,0.0
824,1985-10-20,0.0
825,1985-10-27,0.0
826,1985-11-03,0.0
827,1985-11-10,0.0
828,1985-11-17,0.0
829,1985-11-24,0.0
830,1985-12-01,0.0
831,1985-12-08,0.0
832,1985-12-15,0.0
833,1985-12-22,0.0
834,1985-12-29,0.0
835,1986-01-05,0.0
836,1986-01-12,0.0
837,1986-01-19,0.0
838,1986-01-26,0.0
839,1986-02-02,0.0
840,1986-02-09,0.0
841,1986-02-16,0.0
842,1986-02-23,0.0
843,1986-03-02,0.0
844,1986-03-09,0.0
845,1986-03-16,0.0
846,1986-03-23,0.0
847,1986-03-30,0.0
848,1986-04-06,0.0
849,1986-04-13,0.0
850,1986-04-20,0.0
851,1986-04-27,0.0
852,1986-05-04,0.0
853,1986-05-11,0.0
854,1986-05-18,0.0
855,1986-05-25,0.0
856,1986-06-01,0.0
857,1986-06-08,0.0
858,1986-06-15,0.0
859,1986-06-22,0.0
860,1986-06-29,0.0
861,1986-07-06,0.0
862,1986-07-13,0.0
863,1986-07-20,0.0
864,1986-07-27,0.0
865,1986-08-03,0.0
866,1986-08-10,0.0
867,1986-08-17,0.0
868,1986-08-24,0.0
869,1986-08-31,0.0
870,1986-09-07,0.0
871,1986-09-14,0.0
872,1986-09-21,0.0
873,1986-09-28,0.0
874,1986-10-05,0.0
875,1986-10-12,0.0
876,1986-10-19,0.0
877,1986-10-26,0.0
878,1986-11-02,0.0
879,1986-11-09,0.0
880,1986-11-16,0.0
881,1986-11-23,0.0
882,1986-11-30,0.0
883,1986-12-07,0.0
884,1986-12-14,0.0
885,1986-12-21,0.0
886,1986-12-28,0.0
887,1987-01-04,0.0
888,1987-01-11,0.0
889,1987-01-18,0.0
890,1987-01-25,0.0
891,1987-02-01,0.0
892,1987-02-08,0.0
893,1987-02-15,0.0
894,1987-02-22,0.0
895,1987-03-01,0.0
896,1987-03-08,0.0
897,1987-03-15,0.0
898,1987-03-22,0.0
899,1987-03-29,0.0
900,1987-04-05,0.0
901,1987-04-12,0.0
902,1987-04-19,0.0
903,1987-04-26,0.0
904,1987-05-03,0.0
905,1987-05-10,0.0
906,1987-05-17,0.0
907,1987-05-24,0.0
908,1987-05-31,0.0
909,1987-06-07,0.0
910,1987-06-14,0.0
911,1987-06-21,0.0
912,1987-06-28,0.0
913,1987-07-05,0.0
914,1987-07-12,0.0
915,1987-07-19,0.0
916,1987-07-26,0.0
917,1987-08-02,0.0
918,1987-08-09,0.0
919,1987-08-16,0.0
920,1987-08-23,0.0
921,1987-08-30,0.0
922,1987-09-06,0.0
923,1987-09-13,0.0
924,1987-09-20,0.0
925,1987-09-27,0.0
926,1987-10-04,0.0
927,1987-10-11,0.0
928,1987-10-18,0.0
929,1987-10-25,0.0
930,1987-11-01,0.0
931,1987-11-08,0.0
932,1987-11-15,0.0
933,1987-11-22,0.0
934,1987-11-29,0.0
935,1987-12-06,0.0
936,1987-12-13,0.0
937,1987-12-20,0.0
938,1987-12-27,0.0
939,1988-01-03,0.0
940,1988-01-10,0.0
941,1988-01-17,0.0
942,1988-01-24,0.0
943,1988-01-31,0.0
944,1988-02-07,0.0
945,1988-02-14,0.0
946,1988-02-21,0.0
947,1988-02-28,0.0
948,1988-03-06,0.0
949,1988-03-13,0.0
950,1988-03-20,0.0
951,1988-03-27,0.0
952,1988-04-03,0.0
953,1988-04-10,0.0
954,1988-04-17,0.0
955,1988-04-24,0.0
956,1988-05-01,0.0
957,1988-05-08,0.0
958,1988-05-15,0.0
959,1988-05-22,0.0
960,1988-05-29,0.0
961,1988-06-05,0.0
962,1988-06-12,0.0
963,1988-06-19,0.0
964,1988-06-26,0.0
965,1988-07-03,0.0
966,1988-07-10,0.0
967,1988-07-17,0.0
968,1988-07-24,0.0
969,1988-07-31,0.0
970,1988-08-07,0.0
971,1988-08-14,0.0
972,1988-08-21,0.0
973,1988-08-28,0.0
974,1988-09-04,0.0
975,1988-09-11,0.0
976,1988-09-18,0.0
977,1988-09-25,0.0
978,1988-10-02,0.0
979,1988-10-09,0.0
980,1988-10-16,0.0
981,1988-10-23,0.0
982,1988-10-30,0.0
983,1988-11-06,0.0
984,1988-11-13,0.0
985,1988-11-20,0.0
986,1988-11-27,0.0
987,1988-12-04,0.0
988,1988-12-11,0.0
989,1988-12-18,0.0
990,1988-12-25,0.0
991,1989-01-01,0.0
992,1989-01-08,0.0
993,1989-01-15,0.0
994,1989-01-22,0.0
995,1989-01-29,0.0
996,1989-02-05,0.0
997,1989-02-12,0.0
998,1989-02-19,0.0
999,1989-02-26,0.0
1000,1989-03-05,0.0
1001,1989-03-12,0.0
1002,1989-03-19,0.0
1003,1989-03-26,0.0
1004,1989-04-02,0.0
1005,1989-04-09,0.0
1006,1989-04-16,0.0
1007,1989-04-23,0.0
1008,1989-04-30,0.0
1009,1989-05-07,0.0
1010,1989-05-14,0.0
1011,1989-05-21,0.0
1012,1989-05-28,0.0
1013,1989-06-04,0.0
1014,1989-06-11,0.0
1015,1989-06-18,0.0
1016,1989-06-25,0.0
1017,1989-07-02,0.0
1018,1989-07-09,0.0
1019,1989-07-16,0.0
1020,1989-07-23,0.0
1021,1989-07-30,0.0
1022,1989-08-06,0.0
1023,1989-08-13,0.0
1024,1989-08-20,0.0
1025,1989-08-27,0.0
1026,1989-09-03,0.0
1027,1989-09-10,0.0
1028,1989-09-17,0.0
1029,1989-09-24,0.0
1030,1989-10-01,0.0
1031,1989-10-08,0.0
1032,1989-10-15,0.0
1033,1989-10-22,0.0
1034,1989-10-29,0.0
1035,1989-11-05,0.0
1036,1989-11-12,0.0
1037,1989-11-19,0.0
1038,1989-11-26,0.0
1039,1989-12-03,0.0
1040,1989-12-10,0.0
1041,1989-12-17,0.0
1042,1989-12-24,0.0
1043,1989-12-31,0.0
1044,1990-01-07,0.0
1045,1990-01-14,0.0
1046,1990-01-21,0.0
1047,1990-01-28,0.0
1048,1990-02-04,0.0
1049,1990-02-11,0.0
1050,1990-02-18,0.0
1051,1990-02-25,0.0
1052,1990-03-04,0.0
1053,1990-03-11,0.0
1054,1990-03-18,0.0
1055,1990-03-25,0.0
1056,1990-04-01,0.0
1057,1990-04-08,0.0
1058,1990-04-15,0.0
1059,1990-04-22,0.0
1060,1990-04-29,0.0
1061,1990-05-06,0.0
1062,1990-05-13,0.0
1063,1990-05-20,0.0
1064,1990-05-27,0.0
1065,1990-06-03,0.0
1066,1990-06-10,0.0
1067,1990-06-17,0.0
1068,1990-06-24,0.0
1069,1990-07-01,0.0
1070,1990-07-08,0.0
1071,1990-07-15,0.0
1072,1990-07-22,0.0
1073,1990-07-29,0.0
1074,1990-08-05,0.0
1075,1990-08-12,0.0
1076,1990-08-19,0.0
1077,1990-08-26,0.0
1078,1990-09-02,0.0
1079,1990-09-09,0.0
1080,1990-09-16,0.0
1081,1990-09-23,0.0
1082,1990-09-30,0.0
1083,1990-10-07,0.0
1084,1990-10-14,0.0
1085,1990-10-21,0.0
1086,1990-10-28,0.0
1087,1990-11-04,0.0
1088,1990-11-11,0.0
1089,1990-11-18,0.0
1090,1990-11-25,0.0
1091,1990-12-02,0.0
1092,1990-12-09,0.0
1093,1990-12-16,0.0
1094,1990-12-23,0.0
1095,1990-12-30,0.0
1096,1991-01-06,0.0
1097,1991-01-13,0.0
1098,1991-01-20,0.0
1099,1991-01-27,0.0
1100,1991-02-03,0.0
1101,1991-02-10,0.0
1102,1991-02-17,0.0
1103,1991-02-24,0.0
